Case,Equation,Av_Height,np.min,np.max,Inflow,Outflow,%Deviation,K_eq,Exec_time,Area,Height_3,Av_lub,cells,dof,time
stokes-ss-hvar-ILB_4_151e4-0,stokes-ss-hvar-ILB_4_151e4-0,0.000179575,1.000000e-15,2.170000e-03,6.091114909e-05,6.091114909e-05,-8.002092e-10,2.32258e-09,604.096,0.0032697,1.11465e+22,6.64442e-09,653800,2.94852e+06,604.096
stokes-ss-hvar-ILB_4_151e4-1,stokes-ss-hvar-ILB_4_151e4-1,0.000159598,1.000000e-15,2.150000e-03,4.687589257e-05,4.687589257e-05,-9.650806e-10,1.78741e-09,608.919,0.0032697,4.50096e+38,1.93672e-14,653800,2.94852e+06,608.919
stokes-ss-hvar-ILB_4_151e4-2,stokes-ss-hvar-ILB_4_151e4-2,0.000139681,1.000000e-15,2.130000e-03,3.47035827e-05,3.47035827e-05,-1.252894e-09,1.32327e-09,606.581,0.0032697,2.41315e+39,1.10656e-14,653800,2.94852e+06,606.581
stokes-ss-hvar-ILB_4_151e4-3,stokes-ss-hvar-ILB_4_151e4-3,0.000119873,1.000000e-15,2.110000e-03,2.439135328e-05,2.439135328e-05,-1.564316e-09,9.30057e-10,606.629,0.0032697,6.61536e+39,7.90651e-15,653800,2.94852e+06,606.629
stokes-ss-hvar-ILB_4_151e4-4,stokes-ss-hvar-ILB_4_151e4-4,0.000100285,1.000000e-15,2.090000e-03,1.594340748e-05,1.594340748e-05,1.098315e-09,6.07932e-10,607.231,0.0032697,1.64108e+40,5.84063e-15,653800,2.94852e+06,607.231
stokes-ss-hvar-ILB_4_151e4-5,stokes-ss-hvar-ILB_4_151e4-5,8.11701e-05,1.000000e-15,2.070000e-03,9.376552776e-06,9.376552776e-06,-3.015263e-09,3.57534e-10,609.252,0.0032697,4.4651e+40,4.18368e-15,653800,2.94852e+06,609.252
stokes-ss-hvar-ILB_4_151e4-6,stokes-ss-hvar-ILB_4_151e4-6,6.30558e-05,1.000000e-15,2.050000e-03,4.618917625e-06,4.618917626e-06,-1.301837e-08,1.76122e-10,609.576,0.0032697,1.29222e+41,2.93578e-15,653800,2.94852e+06,609.576
stokes-ss-hvar-ILB_4_151e4-7,stokes-ss-hvar-ILB_4_151e4-7,4.69018e-05,1.000000e-15,2.030000e-03,1.440073386e-06,1.440073386e-06,-1.736417e-08,5.49109e-11,607.304,0.0032697,3.72168e+41,2.06343e-15,653800,2.94852e+06,607.304
stokes-ss-hvar-ILB_4_151e4-8,stokes-ss-hvar-ILB_4_151e4-8,3.39197e-05,1.000000e-15,2.010000e-03,1.433079922e-07,1.433079923e-07,-3.367699e-08,5.46442e-12,607.969,0.0032697,8.69228e+41,1.55522e-15,653800,2.94852e+06,607.969
stokes-ss-hvar-ILB_4_151e4-9,stokes-ss-hvar-ILB_4_151e4-9,2.46887e-05,1.000000e-15,1.990000e-03,-1.100336368e-18,5.312819428e-18,5.828359e+02,2.02581e-22,602.404,0.0032697,1.50016e+42,1.29655e-15,653800,2.94852e+06,602.404
stokes-ss-hvar-ILB_4_151e4-10,stokes-ss-hvar-ILB_4_151e4-10,1.8633e-05,1.000000e-15,1.970000e-03,1.222611338e-18,1.700983829e-18,-3.912711e+01,6.48596e-23,610.266,0.0032697,2.07737e+42,1.16323e-15,653800,2.94852e+06,610.266
